RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Sprung8,200,251,184,248
Annane36,60,151,40,149
Bollaert37,15,22,4,23
Bone38,85,130,83,114
Briegel39,18,20,16,20
Oppert42,13,18,18,23
Sprung43,25,43,6,16
Tandan44,5,14,3,14
Chawla47,16,23,7,21
