RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Abel1976,4,20,3,24
Holter1977,2,30,2,6
Freund1979,0,25,0,10
Thompson1981,0,12,0,9
Muller1982,3,66,11,59
Yamada1983,0,10,0,10
Askananzi1986,0,22,2,13
Jiminez1986,4,60,1,15
Muller1986,10,46,11,59
Sax1987,1,29,1,26
Bellatone1988,1,54,1,46
Figueras1988,0,25,0,24
Meguid1988,8,62,8,60
Smith1988,1,17,3,17
fan1989,6,20,6,20
Herndon1989,10,16,6,23
Woolfsen1989,2,51,2,50
Gys1990,0,10,0,10
Reilly1990,0,8,2,10
vet1991,31,231,24,228
von1992,0,29,1,28
Hwang1993,0,12,0,16
Hwang1993,0,14,0,16
Sandstrom1993,12,150,10,150
Brennan1994,4,60,1,57
Fan1994,5,64,9,60
Chiarelli1996,3,12,4,12
