RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Haupt1982,5,9,12,17
Rackow1989,5,10,5,10
Nagy1993,4,21,4,20
Beards1994,4,13,6,15
Berard1995,32,146,31,153
Younes1998,2,12,3,11
Asfar2000,10,16,12,18
Carli2000,9,85,4,79
Schortgen2001,28,65,29,64
Molnar2004,12,15,10,15
Veneman2004,18,30,13,31
Brunkhorst2008,107,297,93,303
Li2008,14,30,20,30
McIntyre2008,9,21,6,19
Dolecek2009,6,26,4,30
Heijden2009,4,12,8,36
Dubin2010,3,12,7,13
Gondos2010,15,50,38,150
Heradstveit2010,2,10,2,9
Inal2010,5,15,5,15
Vlachou2010,2,12,2,17
Du2011,2,21,2,21
James2011,12,58,6,57
Zhao2011,3,20,5,20
Zhu2011,3,90,4,45
Guidet2012,40,100,32,96
Myburgh2012,597,3500,566,3500
Perner2012,201,400,172,400
