RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Conrad1989,6,16,6,17
Deppe1990,12,46,11,38
Johnson1994,8,16,10,19
Adams1997,0,10,0,10
Welte1997,9,27,16,25
Combes2000,4,54,9,50
Zeitoun2003,7,23,11,24
Rabitsch2004,0,12,5,12
Topeli2004,13,41,9,37
Lorente2005,43,210,42,233
Lorente2006,33,236,31,221
