RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Aerdts24,2,28,6,60
Blair25,24,161,32,170
Boland26,2,32,4,32
Cockerill27,11,75,11,75
de28,6,58,14,59
de29,69,466,107,468
Finch30,14,24,10,25
Jacobs31,14,45,23,46
Kerver32,14,49,15,47
Krueger33,52,273,75,273
Luiten34,11,54,18,55
Palomar35,14,59,14,55
Rocha36,10,47,24,54
Rolando37,18,49,27,52
Sanchez38,51,131,66,140
Stoutenbeek39,42,201,44,200
Tetteroo40,3,56,2,58
Ulrich41,22,55,33,57
Verwaest42,34,220,31,220
Verwaest42,31,220,31,220
Winter43,33,91,40,92
Zobel44,3,25,2,25
