RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Kortbeek1999,10,37,18,43
Day2001,0,14,2,11
Davies2002,2,31,1,35
Montejo2002,16,50,20,51
Hsu2009,5,59,15,62
Acosta2010,16,50,31,54
Davies2012,18,91,19,89
