RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Andrews1,84,251,84,251
Angstwurm2,7,21,11,21
Crimi3,49,112,76,112
Forceville4,14,31,13,29
Kuklinski5,0,8,8,9
Mishra6,11,18,15,22
Schneider7,6,29,6,29
Valenta8,19,75,24,75
Young9,4,33,9,35
Zimmerman10,3,20,8,20
Nathens11,5,301,9,294
Porter12,0,9,0,9
Preiser13,8,20,6,17
Berger1998,1,10,0,10
Berger2001,0,11,1,12
BergerA2001,2,9,1,12
Angstwurm2007,46,116,61,122
Berger2007,1,11,1,10
Berger2008,14,102,9,98
El2009,2,40,1,40
Manzanares2011,5,15,7,16
