RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Griffiths1997,18,42,25,42
Powell1999,14,83,20,85
Karwowska2001,0,15,0,15
Neri2001,0,16,0,17
Wischmeyer2001,2,15,5,16
Conejero2002,14,47,9,37
Goeters2002,7,33,11,35
Lin2002,0,25,0,23
Ockenga2002,0,14,1,14
Garrel2003,2,21,12,24
Hall2003,26,179,25,184
Fuentes2004,2,17,3,16
He2004,0,22,3,22
Chai2006,9,30,10,30
D2006,2,58,2,56
Tian2006,2,20,5,20
Wang2006,0,20,0,19
Kumar2007,8,63,5,57
Sahin2007,2,20,6,20
Dong2008,0,20,0,20
Est2008,1,32,6,31
Fuentes2008,2,22,5,22
Perez2008,3,15,0,15
Yang2008,1,25,3,25
Eroglue2009,1,20,1,20
Patenshetti2009,0,15,2,15
Qiu2009,0,22,0,22
Prez2010,4,23,3,20
Andrews2011,46,126,38,125
ekmen2011,3,15,6,15
Grau2011,9,59,13,68
Wemerman2011,22,205,35,208
Hajd2012,0,24,3,21
Cucereanu2013,3,24,4,23
Heyland2013,97,303,76,302
Zhao2013,3,40,2,40
