RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Davies1991,6,35,6,34
van2001,55,765,85,783
Grey2004,4,34,6,27
Bland2005,1,5,2,5
Fernandez2005,1,11,2,9
Henderson2005,5,32,7,35
Kia2005,19,132,11,133
MacKenzie2005,39,121,47,119
Yu2005,4,28,4,27
Arabi2006,72,266,83,257
Mitchell2006,102,254,96,250
Stecher2006,9,57,9,60
van2006,222,595,242,605
Walters2006,1,13,0,12
Wang2006,7,58,26,58
Bilotta2007,5,40,5,38
Devos2007,107,550,89,551
Farah2007,22,41,22,48
Gray2007,76,464,86,469
McMullin2007,6,11,4,9
Oksanen2007,13,39,18,51
Azevedo2008,38,168,42,169
Bilotta2008,4,48,4,49
Brunkhorst2008,61,247,75,289
Bruno2008,1,31,0,15
Chan2008,3,47,3,51
