RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Ahn1998,1,20,1,18
Holdgaard1999,0,30,2,30
Porter1999,3,12,1,12
Raine1999,3,50,3,50
Massick2001,2,50,6,50
Wu2003,2,41,0,42
Antonelli2005,5,67,2,72
Silvester2006,3,100,1,100
Lukas2007,3,100,0,105
Xu2007,1,109,0,57
