RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Snyderman199,19,82,19,47
Daly1992,5,41,13,44
Brown1994,3,19,10,18
Moore1994,9,51,10,47
Bower1995,86,153,90,143
Daly1995,1,30,9,30
Braga1996,2,20,3,20
Kudsk1996,5,16,11,17
Ross1996,57,87,52,83
Schilling1996,3,14,6,14
Engel1997,6,18,5,18
Gianotti1997,13,87,20,87
Mendez1997,19,22,12,21
Rodrigo1997,5,16,3,14
Senkal1997,17,77,24,77
Braga1999,14,102,31,104
Senkal1999,10,78,18,76
Galban2000,39,89,44,87
