RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Klastersky1971,23,46,18,39
Schumer1976,9,86,33,86
Hoffman1984,2,20,10,18
Sprung1984,33,43,11,16
Bernard1987,30,50,31,49
Bone1987,65,191,48,190
VASSCSG1987,23,112,24,111
Bollaert1988,7,22,12,19
Luce1988,22,38,20,37
Marik1993,1,14,3,16
Briegel1999,5,20,6,20
Annane2002,102,150,112,149
De2002,11,157,21,144
Yildiz2002,8,20,12,20
Thwaites2004,87,274,112,271
Confalonieri2005,1,23,9,23
Oppert2005,7,18,11,23
Cicarelli2006,5,15,3,14
Rinaldi2006,2,20,2,20
Cicarelli2007,7,14,12,15
Scarborough2007,140,231,127,228
Sprung2008,137,242,127,235
Hu2009,4,34,5,33
Meduri2009,23,48,6,32
Arabi2010,34,39,32,36
Snijders2010,6,104,6,109
Wan2011,3,35,5,35
Yildiz2011,16,27,15,28
Nafae2013,4,60,6,20
Gordon2014,8,31,9,30
Ruolan2014,4,20,7,20
