RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Abele1,8,58,15,30
Aerdts2,4,17,28,39
Ferrer3,8,39,19,40
Hammond4,1,114,17,125
Kerver5,0,49,21,47
Ulrich6,0,48,10,52
Unertl7,15,19,14,20
von8,2,102,70,102
Wiener9,8,30,24,31
