RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
De14,440,2045,443,1990
Aerdts15,2,17,6,39
Arnow16,3,36,3,33
Blair17,24,126,32,130
Cerra18,13,25,10,21
Cockerill19,11,75,16,75
De20,69,466,107,468
De21,5,54,15,53
Ferrer22,12,39,11,41
Flaherty23,0,51,1,56
Fox24,2,12,8,12
Gastinne25,75,220,67,225
Godard26,12,97,15,84
Hammond27,14,114,15,125
Kerver28,14,49,15,47
Korinek29,3,63,7,60
Krueger30,52,265,75,262
Lingnau31,19,162,16,148
Mandellu32,48,377,30,193
Pneumatikos33,5,31,7,30
Quinio34,13,76,10,72
Rocha35,10,47,24,54
Rodriguez36,4,15,5,13
Sanchez37,51,131,66,140
Stoutenbeek39,42,201,44,200
Ulrich40,15,48,28,52
Unerti41,5,19,6,20
Verwaest42,65,393,31,185
Wiener43,11,30,15,31
Silvestri2004,12,42,15,42
