RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Barret37,0,462,2,420
Cockerill38,1,750,8,900
Cerra40,9,450,22,546
Wiener41,1,342,6,347
Aerdts42,0,391,7,975
Ferrer43,1,597,3,586
Hammond44,1,2025,4,1915
Winter45,0,581,2,733
Ulrich46,1,811,7,697
Unertl47,0,342,1,460
Quino48,0,1216,2,1193
Verwaest49,1,3339,10,3497
Verwaest49,3,4480,10,3497
Blair50,1,942,1,975
Zobel51,0,340,1,340
