RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
O1994,1,11,2,11
Jiang1999,0,30,3,30
Powell1999,37,83,38,85
Zhu2000,1,15,3,15
Karwowska2001,0,15,0,15
Neri2001,1,16,4,17
Spittler2001,3,10,3,10
Wischmeyer2001,7,15,9,16
Conejero2002,11,47,17,37
Ockenga2002,4,14,5,14
Garrel2003,7,21,10,24
Hall2003,35,179,44,184
Zhou2003,2,20,6,20
Fuentes2004,4,17,12,16
He2004,0,22,5,22
Zhou2004,3,15,4,15
Ki2005,5,34,8,35
D2006,23,58,32,56
Wang2006,2,20,2,19
Kumar2007,44,63,37,57
Sahin2007,0,20,4,20
Dong2008,0,20,3,20
Est2008,17,32,19,31
Fuentes2008,9,22,16,22
Perez2008,11,15,13,15
Eroglu2009,8,20,10,20
Prez2010,14,23,14,20
Andrews2011,62,126,59,125
Grau2011,24,59,31,68
Lu2011,0,25,4,25
Hajd2012,10,24,12,21
cucereanu2013,15,24,21,23
Zhao2013,7,40,8,40
