RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Jones1999,10,26,9,24
Goeters2002,11,33,21,35
Griffits2002,18,42,28,42
Hall2003,26,179,25,184
Dechelotte2006,16,58,9,56
Andrews2011,115,250,106,252
Grau2011,16,59,23,68
Heyland2013,227,611,188,607
