RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Van2005,19,33,19,30
Azevedo2007,9,31,5,17
Bilotta2007,21,40,22,38
Bilotta2008,25,48,28,49
Bruno2008,15,31,8,15
Azevedo2009,13,14,15,18
Johnston2009,14,24,34,49
Kreisel2009,15,20,15,20
Meng2009,83,117,90,116
Yang2009,31,75,24,35
Coester2010,23,39,27,40
Green2010,32,42,24,32
Stazewski2011,14,26,17,24
