RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Vourc2015,16,62,13,57
Caputo2016,3,50,4,50
jaber2016,1,25,5,24
Semler2016,12,77,18,73
Simon2016,5,20,5,20
