RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
O1994,1,11,2,11
Griffiths1997,25,42,25,42
Houdijk1998,20,35,26,37
Morlion1998,0,15,0,13
Jacobi1999,3,18,7,16
Jiang1999,0,30,3,30
Wischmeyer2001,7,12,9,14
