RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Martin2002,7,20,9,20
Martin2005,3,19,3,18
Wiedeman2006,128,503,141,497
Hu2014,4,15,3,14
Wang2014,28,50,30,50
