RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Boldt2000,0,10,0,10
Gallandat2000,0,30,0,29
Langeron2001,0,52,0,48
Kasper2003,1,59,1,58
Neff2003,4,16,3,15
Sander2003,0,30,1,30
van2005,0,64,1,68
Gandhi2007,0,49,0,51
Mahmood2007,1,21,6,20
Godet2008,2,33,2,34
Dolecek2009,6,26,4,30
Mukhtar2009,1,20,1,20
Ooi2009,0,45,0,45
Dubin2010,1,9,5,11
Gondos2010,15,50,14,50
Inal2010,5,15,5,15
James2011,12,56,6,53
Yang2011,0,26,0,25
Zhu2011,1,45,4,45
Guidet2012,40,99,32,95
Lu2012,7,22,12,20
Myburgh2012,597,3315,566,3336
Nagpal2012,1,35,0,35
Perner2012,201,398,172,400
Siegemund2012,33,117,36,124
