RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Ronco2000,117,279,86,146
Bouman2002,9,35,21,71
Saudan2006,43,104,62,102
Tolwani2008,51,100,44,100
Bellomo2009,278,722,274,743
