RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Keays1991,13,25,20,25
Jepsen1992,17,32,17,34
Spies1994,12,29,11,29
Stuter1994,7,32,10,29
Bromley1995,4,25,3,25
Peake1996,9,10,5,10
Bernard1997,5,14,6,15
Domenighetti1997,7,22,5,20
Spapen1998,5,12,4,10
Steib1998,3,30,0,30
Molnar1999,16,41,13,45
Ortolani2000,5,12,7,12
Rank2000,10,30,14,30
Paterson2003,4,10,5,10
Szakmany2003,7,47,7,46
Emet2004,7,27,8,26
Burns2005,5,148,4,147
Hynninen2006,1,34,0,35
Macedo2006,6,18,4,24
Ristikankare2006,1,38,2,39
El2007,3,50,0,50
Haase2007,0,30,1,30
Wijeysundera2007,0,88,7,87
Ozaydin2008,0,58,2,57
Sisilo2008,5,129,4,125
Charunwatthana2009,21,56,17,52
Lee2009,24,81,31,92
Moradi2009,5,14,10,13
Burns2010,6,21,9,21
Hilmi2010,11,50,9,50
Csontos2011,4,15,6,15
