RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Niinikoski1993,20,39,26,47
Klein1999,117,211,108,211
Graham2002,160,274,152,266
Roy2003,155,216,141,196
Dela2006,145,180,155,190
Schmitt2006,85,111,76,110
Namias2007,123,250,107,250
