RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Cerra40,2,450,8,546
Wiener41,1,342,4,347
Aerdts42,0,391,3,975
Ulrich46,0,811,3,697
Quino48,0,1216,1,1130
Blair50,0,942,0,975
Zobel51,0,340,0,340
