RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Hayashida2000,0,9,0,9
Sward2004,6,29,14,30
Sezai2006,0,75,1,73
Sezai2007,0,63,2,61
Sezai2009,0,251,4,253
