RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Pentecost1968,15,100,16,100
Thys1974,14,85,10,89
Rackley1976,1,8,2,8
Stanley1978,4,55,9,55
Mantle1981,2,41,4,44
Rogers1982,4,96,9,94
Oldfield1986,0,20,2,23
Coleman1989,1,11,4,11
Lazar1997,0,16,0,15
Lazar2000,0,20,0,20
Turkoz2000,1,15,0,16
Lindholm2001,0,16,1,14
Lell2002,0,21,0,20
Smith2002,0,22,0,22
Lazar2003,0,72,0,69
Pache2004,7,155,5,157
Koskenkari2005,0,20,1,20
Krljanac2005,3,78,4,40
Mehta2005,1004,10088,976,10107
Li2006,0,9,0,12
Quinn2006,3,138,2,142
Ranasinghe2006,3,157,3,160
Zuurbier2008,0,23,0,21
