RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Bland7,4,14,1,13
Boutros9,0,7,2,17
Brown10,6,34,4,33
Foley11,7,18,6,22
Golub13,12,116,6,103
Goodwin14,11,40,3,39
Greenhalgh15,7,34,3,36
Greenough16,6,20,4,20
Grundmann17,1,14,0,6
Jelenko18,1,7,2,7
Kanarek19,3,12,2,12
Lowe20,3,57,3,84
Lucas21,7,27,0,25
Nilsson24,1,29,0,30
Shah27,2,9,3,11
So28,7,32,5,31
Rubin29,2,16,1,15
Rackow30,6,9,6,8
Tollofsrud32,0,10,1,10
Virgilio33,1,15,1,14
Woittiez34,8,15,4,16
Woods36,1,37,0,32
Zetterstrom37,0,15,1,15
Zetterstrom38,2,9,0,9
