RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Adamopoulos1,2,23,9,46
Al1,1,14,1,16
Barisin1,0,21,0,10
Berger1,6,39,7,36
Duygu1,4,30,3,32
Flevari1,3,30,1,15
Follath1,27,103,38,100
Husedzinovic1,0,12,0,12
Ikonomidis1,0,21,3,21
Jarvela1,1,12,0,12
Leppikangas1,1,10,0,11
Levin1,6,69,17,68
Mavrogeni1,2,25,8,25
Mebazaa1,173,664,185,663
Moiseyev1,91,402,32,102
Morelli1,7,15,9,15
Nieminen1,1,95,1,56
Parissis1,0,42,0,21
Samimi1,3,11,1,11
Slawsky1,2,98,3,48
Tritapepe1,0,12,0,12
Tziakas1,0,30,0,30
Zemljic1,0,20,0,20
Alvarez2005,1,15,0,15
Alvarez2006,1,25,1,25
De2007,0,15,3,15
De2008,1,40,4,20
