RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Unertl1987,5,19,6,20
Kerver1988,14,49,15,47
Brun1989,8,36,12,50
Hunefeld1989,51,102,60,102
Ulrich1989,15,48,28,52
Rodriguez1990,4,13,5,15
Tetteroo1990,3,56,2,58
Aerdts1991,2,17,6,39
Blair1991,17,124,22,131
Pugin1991,7,25,7,27
Zobel1991,3,25,2,25
Cerra1992,13,25,10,21
Cockerill1992,11,75,16,75
Ferrer1992,12,39,11,41
Gastinne1992,88,220,82,225
Hammond1992,21,114,21,125
Jacobs1992,14,36,23,43
Palomar1992,14,48,14,49
Rocha1992,10,47,24,54
Sanchez1992,51,131,65,140
Verhaegen1992,45,220,40,220
Verhaegen1992,47,220,40,220
Winter1992,33,91,40,92
Korinek1993,3,63,7,60
Rolando1993,9,28,17,31
Bion1994,0,21,5,31
