RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Niinikoski1993,1,39,2,47
Graham2002,3,274,9,266
Dela2006,5,180,9,190
Schmitt2006,11,111,17,110
Namias2007,12,250,15,250
