RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Delclaux2000,12,40,11,41
Hilbert2001,13,26,21,26
Squadrone2005,0,105,3,104
Zhan2012,1,21,5,19
Brambilla2014,2,40,7,41
