RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Kuklinski1991,0,8,8,9
Zimmermann1997,3,20,8,20
Angstwurm1999,7,21,11,21
Berger2001,2,9,1,12
Lindner2004,5,35,3,35
Angstwurm2007,46,122,61,124
Forceville2007,20,31,21,29
Mishra2007,8,18,11,22
Montoya2009,6,34,8,34
Manzanares2011,8,15,12,16
SIGNET2011,107,251,114,251
Valenta2011,19,93,24,89
Janka2013,15,35,22,37
