RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
bland1973,9,50,12,50
bland1976,4,14,1,13
Nilsson1980,1,29,0,30
brown1988,6,34,4,33
foley1990,7,18,6,22
Kanarek1992,3,12,2,12
Wojtysiak1992,0,15,0,15
Greenough1993,6,20,4,20
Golub1994,12,116,6,103
Rubin1997,2,16,1,15
Quinlan2004,4,10,4,10
dubois2006,12,50,15,50
