RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Corwin2002,15,314,33,316
Corwin2007,24,402,36,391
Nirula2010,2,11,0,5
Abrishamakar2012,2,27,2,27
Gerasimov2012,10,42,14,36
Robertson2014,13,96,18,94
Aliozos2015,2,24,4,18
Nichol2015,32,305,46,297
