RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Antonelli16,7,20,11,20
Zhan24,1,21,5,19
Confalonieri27,7,28,6,28
Wood29,4,16,0,11
Auriant34,3,24,9,24
