RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Sisto1995,7,81,14,81
Lassnigg2003,11,20,8,20
Eslami2007,2,50,13,50
Castillo2010,11,48,15,47
Papoulidis2010,38,85,52,85
