RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Lindquist1981,1,31,0,28
Just1986,25,50,22,54
Jesdinsky1987,66,145,58,143
Spannbrucker1987,6,25,11,25
De1988,7,12,9,12
Grundmann1988,15,24,19,22
Wesoly1990,8,18,13,17
Burns1991,4,25,3,13
Dominioni1991,11,29,22,33
Schedel1991,1,27,9,28
Behre1995,9,30,10,22
Dominioni1996,8,30,14,25
Werdan1997,126,321,113,303
Yakut1998,3,21,9,19
Masaoka2000,3,339,10,343
Karatzas2002,10,42,16,40
Tugrul2002,5,21,7,21
Darenberg2003,1,10,4,11
Rodriguez2005,8,29,13,27
Hentrich2006,27,103,29,103
