RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Cristobal2000,17,89,28,87
Pontes2006,18,55,25,48
Friesecke2008,10,42,8,38
Barbosa2010,4,13,4,10
Grau2011,11,61,11,71
Khor2011,0,14,0,14
Hosny2013,8,25,10,25
HosnyB2013,11,25,10,25
Hall2014,4,30,9,34
