RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Abele31,11,58,5,30
Aerdts32,2,28,6,60
Arnow33,3,48,3,38
Barret34,2,11,1,12
Bergmans35,25,87,53,139
Bion36,0,27,5,32
Blair37,24,161,32,170
Boland38,2,32,4,32
Brun39,8,65,12,68
Camus40,67,259,77,256
Cerra41,13,25,10,23
Cockerill42,11,75,16,75
de43,6,58,14,59
Ferrer44,12,51,11,50
Finch45,15,24,10,25
Flaherty46,0,51,1,56
Gastinne47,88,220,82,225
Gaussorges48,29,59,29,59
Georges49,3,31,5,33
Hammond50,21,162,21,160
Hellinger51,2,37,2,43
Jacobs52,14,45,23,46
Kerver53,14,49,15,47
Korinek54,22,96,17,95
Krueger55,52,273,75,273
Laggner56,9,33,14,34
Lingnau57,19,180,16,177
Luiten58,11,54,18,55
Palomar59,14,59,14,55
Pneumatikos60,5,40,7,39
Pugin61,10,38,11,41
Quinio62,12,76,10,72
Rayes63,0,32,0,63
Rocha64,10,47,24,54
Rodriguez65,8,14,5,17
Rolando66,18,49,27,52
Rolando67,18,47,18,61
Sanchez69,51,131,66,140
Schardey70,5,102,11,103
Smith71,2,18,3,18
Stoutenbeek72,1,49,5,42
Stoutenbeek72,42,201,44,200
Tetteroo73,3,56,2,58
Ulrich74,22,55,33,57
Unertl75,5,19,6,20
Verwaest76,34,220,31,220
Verwaest76,31,220,31,220
Wiener77,11,30,15,31
Winter78,33,91,40,92
Zobel79,3,25,2,25
