RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Myburgh1,597,3315,566,3336
Perner2,201,398,172,400
James3,12,56,6,53
Haase4,44,117,50,124
Alavi16,0,32,0,29
AlaviA16,0,31,0,29
Alpar18,7,90,12,90
Annane20,362,1290,372,1107
AnnaneA20,168,562,372,1107
Brunkhorst24,107,261,93,274
Bueno25,0,25,0,25
Bulger26,32,110,22,99
Bulger27,53,220,66,256
BulgerA27,53,220,94,376
Dubin28,1,9,5,11
Guidet33,31,100,24,95
Gurbuz34,0,100,0,100
Hamaji35,1,24,0,24
Harten36,1,14,2,15
Hung37,0,41,0,39
Magder42,2,119,2,118
Mattox44,35,184,42,175
McIntyre46,9,21,6,19
Morrison47,35,50,42,57
Oliviera48,4,13,10,16
Parker50,19,198,9,198
Rizoli52,0,10,2,14
Soares56,0,20,1,20
Tamayo57,0,22,0,22
Vassar61,27,49,23,45
VassarA61,22,50,23,45
Veneman62,9,15,5,16
VenemanA62,9,15,5,16
Verheij63,1,16,1,16
Yates65,5,104,2,98
Younes66,0,35,1,35
Younes67,27,101,40,111
