RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Heyland3,11,21,4,12
Esparza13,2,27,3,27
davies14,1,35,2,31
Kortbeek15,18,43,10,37
Kearns16,3,23,4,21
Day17,2,11,0,14
Neumann18,0,30,1,30
Montecalvo21,2,19,0,19
Montejo22,20,51,16,50
