RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Schumer1976,9,86,33,86
Lucas1984,5,23,5,25
Sprung1984,33,43,11,16
Luce1988,22,38,20,37
Bollaert1998,8,22,12,19
Briegel1999,5,20,6,20
Chawla1999,6,23,10,21
Annane2002,95,151,103,149
Yildiz2002,8,20,12,20
Confalonieri2005,0,23,7,23
Tandan2005,11,14,13,14
Rinaldi2006,6,26,7,26
Meduri2007,13,42,10,19
Sprung2008,111,251,100,245
Arabi2011,34,39,32,36
Meijvis2011,8,151,8,153
Gordon2014,8,31,9,30
Torres2015,6,61,9,59
