RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Godard6,12,101,15,84
Verhaegen10,45,220,40,220
Verhaegen10,47,220,40,220
Gaussorgues11,29,59,29,59
Cockerill17,11,75,16,75
Gastinne18,88,220,82,225
Korinek19,22,96,17,95
Rocha20,27,74,40,77
Aerdts21,4,28,12,60
Blair22,24,161,32,170
Cerra23,13,25,10,23
Jacobs24,14,45,23,46
Palomar25,14,48,14,49
Pugin26,10,38,11,41
Ulrich27,22,55,33,57
Unertl28,5,19,6,20
Winter29,33,91,40,92
Sanchez30,51,131,65,140
Brun31,14,65,15,68
Hammond32,34,162,31,160
Kerver33,14,49,15,47
Rodriguez34,5,14,7,17
Ferrer35,15,51,14,50
